"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome","Group"
"HGNC:102","CNNM1","cyclin and CBS domain divalent metal cation transport mediator 1","ACDP1","SLC70A1","10q24.2","Cyclin and CBS domain divalent metal cation transport mediators"
"HGNC:103","CNNM2","cyclin and CBS domain divalent metal cation transport mediator 2","ACDP2","SLC70A2","10q24.32","Cyclin and CBS domain divalent metal cation transport mediators"
"HGNC:104","CNNM3","cyclin and CBS domain divalent metal cation transport mediator 3","ACDP3","SLC70A3","2q11.2","Cyclin and CBS domain divalent metal cation transport mediators"
"HGNC:105","CNNM4","cyclin and CBS domain divalent metal cation transport mediator 4","ACDP4","SLC70A4,KIAA1592","2q11.2","Cyclin and CBS domain divalent metal cation transport mediators"
"HGNC:10939","SLC1A1","solute carrier family 1 member 1","","EAAC1,EAAT3,hEAAC1","9p24.2","Solute carrier family 1"
"HGNC:10940","SLC1A2","solute carrier family 1 member 2","","GLT-1,GLT1,EAAT2,HBGT","11p13","Solute carrier family 1"
"HGNC:10941","SLC1A3","solute carrier family 1 member 3","","EAAT1,GLAST,EA6,GLAST1,GLAST-1","5p13.2","Solute carrier family 1"
"HGNC:10942","SLC1A4","solute carrier family 1 member 4","","SATT,ASCT1,ASCT-1","2p14","Solute carrier family 1"
"HGNC:10943","SLC1A5","solute carrier family 1 member 5","RDRC,M7V1","AAAT,ASCT2","19q13.32","Solute carrier family 1"
"HGNC:10944","SLC1A6","solute carrier family 1 member 6","","EAAT4","19p13.12","Solute carrier family 1"
"HGNC:10945","SLC1A7","solute carrier family 1 member 7","","EAAT5","1p32.3","Solute carrier family 1"
"HGNC:11005","SLC2A1","solute carrier family 2 member 1","GLUT1,GLUT,HTLVR,CSE","DYT18,DYT9,GLUT-1","1p34.2","Solute carrier family 2"
"HGNC:11006","SLC2A2","solute carrier family 2 member 2","GLUT2","GLUT-2","3q26.2","Solute carrier family 2"
"HGNC:11007","SLC2A3","solute carrier family 2 member 3","GLUT3","","12p13.31","Solute carrier family 2"
"HGNC:11009","SLC2A4","solute carrier family 2 member 4","GLUT4","","17p13.1","Solute carrier family 2"
"HGNC:11010","SLC2A5","solute carrier family 2 member 5","GLUT5","","1p36.23","Solute carrier family 2"
"HGNC:11011","SLC2A6","solute carrier family 2 member 6","","GLUT9,GLUT6,HSA011372","9q34.2","Solute carrier family 2"
"HGNC:13445","SLC2A7","solute carrier family 2 member 7","","GLUT7","1p36.23","Solute carrier family 2"
"HGNC:13812","SLC2A8","solute carrier family 2 member 8","","GLUTX1,GLUT8","9q33.3","Solute carrier family 2"
"HGNC:13446","SLC2A9","solute carrier family 2 member 9","","Glut9,GLUTX,URATv1","4p16.1","Solute carrier family 2"
"HGNC:13444","SLC2A10","solute carrier family 2 member 10","","GLUT10,GLUT-10","20q13.12","Solute carrier family 2"
"HGNC:14239","SLC2A11","solute carrier family 2 member 11","","GLUT11","22q11.23","Solute carrier family 2"
"HGNC:18067","SLC2A12","solute carrier family 2 member 12","","GLUT12,GLUT8","6q23.2","Solute carrier family 2"
"HGNC:15956","SLC2A13","solute carrier family 2 member 13","","HMIT","12q12","Solute carrier family 2"
"HGNC:18301","SLC2A14","solute carrier family 2 member 14","SLC2A3P3","GLUT14","12p13.31","Solute carrier family 2"
"HGNC:11025","SLC3A1","solute carrier family 3 member 1","","CSNU1,D2H,RBAT,ATR1,NBAT","2p21","Solute carrier family 3"
"HGNC:11026","SLC3A2","solute carrier family 3 member 2","MDU1","4T2HC,4F2,NACAE,CD98,CD98HC,4F2HC","11q12.3","Solute carrier family 3"
"HGNC:11027","SLC4A1","solute carrier family 4 member 1 (Diego blood group)","EPB3,AE1,DI,WD","RTA1A,CD233,FR,SW,WR,EMPB3","17q21.31","Solute carrier family 4"
"HGNC:11028","SLC4A2","solute carrier family 4 member 2","EPB3L1,AE2","HKB3,BND3L,NBND3","7q36.1","Solute carrier family 4"
"HGNC:11029","SLC4A3","solute carrier family 4 member 3","","AE3,SLC2C","2q35","Solute carrier family 4"
"HGNC:11030","SLC4A4","solute carrier family 4 member 4","SLC4A5","NBC1,HNBC1,NBC2,pNBC,hhNMC,kNBC1,KNBC,NBCe1","4q13.3","Solute carrier family 4"
"HGNC:18168","SLC4A5","solute carrier family 4 member 5","","NBC4","2p13.1","Solute carrier family 4"
"HGNC:11033","SLC4A7","solute carrier family 4 member 7","SLC4A6","NBC3,SBC2","3p24.1","Solute carrier family 4"
"HGNC:11034","SLC4A8","solute carrier family 4 member 8","","NBC3","12q13.13","Solute carrier family 4"
"HGNC:11035","SLC4A9","solute carrier family 4 member 9","","AE4","5q31.3","Solute carrier family 4"
"HGNC:13811","SLC4A10","solute carrier family 4 member 10","","NBCn2,NCBE","2q24.2","Solute carrier family 4"
"HGNC:16438","SLC4A11","solute carrier family 4 member 11","CHED2,CDPD1","dJ794I6.2,BTR1,NaBC1,FECD4","20p13","Solute carrier family 4"
"HGNC:11036","SLC5A1","solute carrier family 5 member 1","SGLT1","D22S675,NAGT,SGLT-1","22q12.3","Solute carrier family 5"
"HGNC:11037","SLC5A2","solute carrier family 5 member 2","SGLT2","","16p11.2","Solute carrier family 5"
"HGNC:11038","SLC5A3","solute carrier family 5 member 3","","SMIT,SMIT1","21q22.11","Solute carrier family 5"
"HGNC:11039","SLC5A4","solute carrier family 5 member 4","","SAAT1,SGLT3,DJ90G24.4","22q12.3","Solute carrier family 5"
"HGNC:11040","SLC5A5","solute carrier family 5 member 5","","NIS","19p13.11","Solute carrier family 5"
"HGNC:11041","SLC5A6","solute carrier family 5 member 6","","SMVT","2p23.3","Solute carrier family 5"
"HGNC:14025","SLC5A7","solute carrier family 5 member 7","","hCHT,CHT1,ChT","2q12.3","Solute carrier family 5"
"HGNC:19119","SLC5A8","solute carrier family 5 member 8","","AIT","12q23.1-q23.2","Solute carrier family 5"
"HGNC:22146","SLC5A9","solute carrier family 5 member 9","","SGLT4","1p33","Solute carrier family 5"
"HGNC:23155","SLC5A10","solute carrier family 5 member 10","","SGLT5","17p11.2","Solute carrier family 5"
"HGNC:23091","SLC5A11","solute carrier family 5 member 11","","KST1,SMIT2,SGLT6","16p12.1","Solute carrier family 5"
"HGNC:28750","SLC5A12","solute carrier family 5 member 12","","MGC52019,SMCT2","11p14.2","Solute carrier family 5"
"HGNC:11042","SLC6A1","solute carrier family 6 member 1","","GAT1,GABATR,GABATHG,GAT-1,hGAT-1","3p25.3","Solute carrier family 6"
"HGNC:11048","SLC6A2","solute carrier family 6 member 2","NET1,NAT1,SLC6A5","NET","16q12.2","Solute carrier family 6"
"HGNC:11049","SLC6A3","solute carrier family 6 member 3","DAT1","DAT","5p15.33","Solute carrier family 6"
"HGNC:11050","SLC6A4","solute carrier family 6 member 4","HTT,OCD1","5-HTT,SERT1","17q11.2","Solute carrier family 6"
"HGNC:11051","SLC6A5","solute carrier family 6 member 5","NET1","GLYT2,GlyT-2","11p15.1","Solute carrier family 6"
"HGNC:11052","SLC6A6","solute carrier family 6 member 6","","TAUT","3p25.1","Solute carrier family 6"
"HGNC:11054","SLC6A7","solute carrier family 6 member 7","","PROT","5q32","Solute carrier family 6"
"HGNC:11055","SLC6A8","solute carrier family 6 member 8","","CRTR,CT1,CRT,CRT-1,CRT1","Xq28","Solute carrier family 6"
"HGNC:11056","SLC6A9","solute carrier family 6 member 9","","GLYT1,GlyT-1","1p34.1","Solute carrier family 6"
"HGNC:11043","SLC6A10P","solute carrier family 6 member 10, pseudogene","SLC6A10","CT-2","16p11.2","Solute carrier family 6"
"HGNC:11044","SLC6A11","solute carrier family 6 member 11","","GAT3","3p25.3","Solute carrier family 6"
"HGNC:11045","SLC6A12","solute carrier family 6 member 12","","BGT-1","12p13.33","Solute carrier family 6"
"HGNC:11046","SLC6A13","solute carrier family 6 member 13","","GAT2","12p13.33","Solute carrier family 6"
"HGNC:11047","SLC6A14","solute carrier family 6 member 14","","","Xq23","Solute carrier family 6"
"HGNC:13621","SLC6A15","solute carrier family 6 member 15","","hv7-3,NTT73,FLJ10316,V7-3,SBAT1","12q21.31","Solute carrier family 6"
"HGNC:13622","SLC6A16","solute carrier family 6 member 16","","NTT5","19q13.33","Solute carrier family 6"
"HGNC:31399","SLC6A17","solute carrier family 6 member 17","","NTT4","1p13.3","Solute carrier family 6"
"HGNC:26441","SLC6A18","solute carrier family 6 member 18","","FLJ31236,Xtrp2","5p15.33","Solute carrier family 6"
"HGNC:27960","SLC6A19","solute carrier family 6 member 19","","B0AT1","5p15.33","Solute carrier family 6"
"HGNC:30927","SLC6A20","solute carrier family 6 member 20","","XT3,Xtrp3,SIT1,IMINO","3p21.31","Solute carrier family 6"
"HGNC:31400","SLC6A21P","solute carrier family 6 member 21, pseudogene","SLC6A21","","19q13.33","Solute carrier family 6"
"HGNC:11057","SLC7A1","solute carrier family 7 member 1","ERR,ATRC1","CAT-1,HCAT1,REC1L","13q12.3","Solute carrier family 7"
"HGNC:11060","SLC7A2","solute carrier family 7 member 2","ATRC2","CAT-2,HCAT2,SLC7A2A,SLC7A2B,CAT-2A,CAT-2B","8p22","Solute carrier family 7"
"HGNC:11061","SLC7A3","solute carrier family 7 member 3","","CAT-3,ATRC3,FLJ14541","Xq13.1","Solute carrier family 7"
"HGNC:11062","SLC7A4","solute carrier family 7 member 4","","HCAT3,CAT-4","22q11.21","Solute carrier family 7"
"HGNC:11063","SLC7A5","solute carrier family 7 member 5","","LAT1,E16,D16S469E,MPE16,CD98","16q24.2","Solute carrier family 7"
"HGNC:11064","SLC7A6","solute carrier family 7 member 6","","y+LAT-2,KIAA0245,LAT3,LAT-2","16q22.1","Solute carrier family 7"
"HGNC:11065","SLC7A7","solute carrier family 7 member 7","LPI","y+LAT-1,Y+LAT1","14q11.2","Solute carrier family 7"
"HGNC:11066","SLC7A8","solute carrier family 7 member 8","","LPI-PC1,LAT2","14q11.2","Solute carrier family 7"
"HGNC:11067","SLC7A9","solute carrier family 7 member 9","CSNU3","BAT1","19q13.11","Solute carrier family 7"
"HGNC:11058","SLC7A10","solute carrier family 7 member 10","","asc-1","19q13.11","Solute carrier family 7"
"HGNC:11059","SLC7A11","solute carrier family 7 member 11","","xCT","4q28.3","Solute carrier family 7"
"HGNC:23092","SLC7A13","solute carrier family 7 member 13","","AGT-1,XAT2","8q21.3","Solute carrier family 7"
"HGNC:29326","SLC7A14","solute carrier family 7 member 14","","KIAA1613,PPP1R142","3q26.2","Solute carrier family 7"
"HGNC:32724","SLC7A15P","solute carrier family 7 member 15, pseudogene","","","2p24.1","Solute carrier family 7"
"HGNC:11068","SLC8A1","solute carrier family 8 member A1","NCX1","","2p22.1","Solute carrier family 8"
"HGNC:11069","SLC8A2","solute carrier family 8 member A2","","NCX2,KIAA1087","19q13.32","Solute carrier family 8"
"HGNC:11070","SLC8A3","solute carrier family 8 member A3","","NCX3","14q24.2","Solute carrier family 8"
"HGNC:26175","SLC8B1","solute carrier family 8 member B1","SLC24A6","FLJ22233,NCKX6,NCLX","12q24.13","Solute carrier family 8"
"HGNC:11071","SLC9A1","solute carrier family 9 member A1","APNH,NHE1,NHE-1","PPP1R143","1p36.11","Solute carrier family 9"
"HGNC:11072","SLC9A2","solute carrier family 9 member A2","NHE2","","2q12.1","Solute carrier family 9"
"HGNC:11073","SLC9A3","solute carrier family 9 member A3","NHE3","NHE-3","5p15.33","Solute carrier family 9"
"HGNC:11077","SLC9A4","solute carrier family 9 member A4","","NHE4","2q12.1","Solute carrier family 9"
"HGNC:11078","SLC9A5","solute carrier family 9 member A5","","NHE5","16q22.1","Solute carrier family 9"
"HGNC:11079","SLC9A6","solute carrier family 9 member A6","","NHE6,KIAA0267,NHE-6","Xq26.3","Solute carrier family 9"
"HGNC:17123","SLC9A7","solute carrier family 9 member A7","","NHE7,NHE-7","Xp11.3","Solute carrier family 9"
"HGNC:20728","SLC9A8","solute carrier family 9 member A8","","KIAA0939,NHE8","20q13.13","Solute carrier family 9"
"HGNC:20653","SLC9A9","solute carrier family 9 member A9","","FLJ35613,NHE9","3q24","Solute carrier family 9"
"HGNC:24244","SLC9B1","solute carrier family 9 member B1","NHEDC1","NHA1","4q24","Solute carrier family 9"
"HGNC:25143","SLC9B2","solute carrier family 9 member B2","NHEDC2","FLJ23984,NHA2","4q24","Solute carrier family 9"
"HGNC:31401","SLC9C1","solute carrier family 9 member C1","SLC9A10","NHE","3q13.2","Solute carrier family 9"
"HGNC:28664","SLC9C2","solute carrier family 9 member C2 (putative)","SLC9A11","MGC43026","1q25.1","Solute carrier family 9"
"HGNC:20329","TMCO3","transmembrane and coiled-coil domains 3","C13orf11","SLC9D1,FLJ20623","13q34","Solute carrier family 9"
"HGNC:10905","SLC10A1","solute carrier family 10 member 1","","NTCP,NTCP1","14q24.1","Solute carrier family 10"
"HGNC:10906","SLC10A2","solute carrier family 10 member 2","ASBT,ISBT","NTCP2,IBAT","13q33.1","Solute carrier family 10"
"HGNC:22979","SLC10A3","solute carrier family 10 member 3","","P3,DXS253E","Xq28","Solute carrier family 10"
"HGNC:22980","SLC10A4","solute carrier family 10 member 4","","MGC29802","4p11","Solute carrier family 10"
"HGNC:22981","SLC10A5","solute carrier family 10 member 5","","","8q21.13","Solute carrier family 10"
"HGNC:30603","SLC10A6","solute carrier family 10 member 6","","SOAT","4q21.3","Solute carrier family 10"
"HGNC:23088","SLC10A7","solute carrier family 10 member 7","C4orf13","MGC25043,DKFZp566M114,DKFZp313H0531,DKFZp779O2438","4q31.22","Solute carrier family 10"
"HGNC:10907","SLC11A1","solute carrier family 11 member 1","LSH,NRAMP,NRAMP1","","2q35","Solute carrier family 11"
"HGNC:10908","SLC11A2","solute carrier family 11 member 2","NRAMP2","DCT1,DMT1,DMT-1,FLJ37416","12q13.12","Solute carrier family 11"
"HGNC:10910","SLC12A1","solute carrier family 12 member 1","","NKCC2,CCC2,BSC1,BSC,BSC-1","15q21.1","Solute carrier family 12"
"HGNC:10911","SLC12A2","solute carrier family 12 member 2","","NKCC1,BSC2,BSC-2,PPP1R141,CCC1","5q23.3","Solute carrier family 12"
"HGNC:10912","SLC12A3","solute carrier family 12 member 3","","NCCT,NCC,TSC","16q13","Solute carrier family 12"
"HGNC:10913","SLC12A4","solute carrier family 12 member 4","","KCC1","16q22.1","Solute carrier family 12"
"HGNC:13818","SLC12A5","solute carrier family 12 member 5","","KIAA1176,KCC2,hKCC2","20q13.12","Solute carrier family 12"
"HGNC:10914","SLC12A6","solute carrier family 12 member 6","KCC3,ACCPN","KCC3A,KCC3B","15q14","Solute carrier family 12"
"HGNC:10915","SLC12A7","solute carrier family 12 member 7","","KCC4,DKFZP434F076","5p15.33","Solute carrier family 12"
"HGNC:15595","SLC12A8","solute carrier family 12 member 8","","CCC9","3q21.2","Solute carrier family 12"
"HGNC:17435","SLC12A9","solute carrier family 12 member 9","","CIP1","7q22.1","Solute carrier family 12"
"HGNC:10916","SLC13A1","solute carrier family 13 member 1","","NaSi-1,NAS1","7q31.32","Solute carrier family 13"
"HGNC:10917","SLC13A2","solute carrier family 13 member 2","","NaDC-1","17q11.2","Solute carrier family 13"
"HGNC:14430","SLC13A3","solute carrier family 13 member 3","","NADC3,SDCT2","20q13.12","Solute carrier family 13"
"HGNC:15827","SLC13A4","solute carrier family 13 member 4","","SUT-1,SUT1","7q33","Solute carrier family 13"
"HGNC:23089","SLC13A5","solute carrier family 13 member 5","","NACT,INDY,mINDY","17p13.1","Solute carrier family 13"
"HGNC:8101","OCA2","OCA2 melanosomal transmembrane protein","D15S12,P,EYCL3,EYCL2","BEY,BEY1,BEY2,EYCL,SLC13B1","15q12-q13.1","Solute carrier family 13"
"HGNC:10918","SLC14A1","solute carrier family 14 member 1 (Kidd blood group)","JK","HsT1341,RACH1,RACH2","18q12.3","Solute carrier family 14"
"HGNC:10919","SLC14A2","solute carrier family 14 member 2","","HUT2,UT2","18q12.3","Solute carrier family 14"
"HGNC:10920","SLC15A1","solute carrier family 15 member 1","","PEPT1,HPECT1,HPEPT1","13q32.2-q32.3","Solute carrier family 15"
"HGNC:10921","SLC15A2","solute carrier family 15 member 2","","PEPT2","3q13.33","Solute carrier family 15"
"HGNC:18068","SLC15A3","solute carrier family 15 member 3","","PHT2,hPTR3","11q12.2","Solute carrier family 15"
"HGNC:23090","SLC15A4","solute carrier family 15 member 4","","PHT1,PTR4","12q24.33","Solute carrier family 15"
"HGNC:33455","SLC15A5","solute carrier family 15 member 5","","","12p12.3","Solute carrier family 15"
"HGNC:10922","SLC16A1","solute carrier family 16 member 1","","MCT,MCT1","1p13.2","Solute carrier family 16"
"HGNC:10923","SLC16A2","solute carrier family 16 member 2","DXS128,AHDS,MRX22","XPCT,MCT8,MCT7,DXS128E","Xq13.2","Solute carrier family 16"
"HGNC:10924","SLC16A3","solute carrier family 16 member 3","","MCT3,MCT4","17q25.3","Solute carrier family 16"
"HGNC:10925","SLC16A4","solute carrier family 16 member 4","","MCT4,MCT5","1p13.3","Solute carrier family 16"
"HGNC:10926","SLC16A5","solute carrier family 16 member 5","","MCT5,MCT6","17q25.1","Solute carrier family 16"
"HGNC:10927","SLC16A6","solute carrier family 16 member 6","","MCT6,MCT7","17q24.2","Solute carrier family 16"
"HGNC:10928","SLC16A7","solute carrier family 16 member 7","","MCT2","12q14.1","Solute carrier family 16"
"HGNC:16270","SLC16A8","solute carrier family 16 member 8","","MCT3,REMP","22q13.1","Solute carrier family 16"
"HGNC:23520","SLC16A9","solute carrier family 16 member 9","C10orf36","FLJ43803,MCT9","10q21.2","Solute carrier family 16"
"HGNC:17027","SLC16A10","solute carrier family 16 member 10","","TAT1,MCT10","6q21","Solute carrier family 16"
"HGNC:23093","SLC16A11","solute carrier family 16 member 11","","FLJ90193,MCT11","17p13.1","Solute carrier family 16"
"HGNC:23094","SLC16A12","solute carrier family 16 member 12","","MCT12,CRT2","10q23.31","Solute carrier family 16"
"HGNC:31037","SLC16A13","solute carrier family 16 member 13","","MCT13","17p13.1","Solute carrier family 16"
"HGNC:26417","SLC16A14","solute carrier family 16 member 14","","FLJ30794,MCT14","2q36.3","Solute carrier family 16"
"HGNC:10929","SLC17A1","solute carrier family 17 member 1","NPT1","NAPI-1","6p22.2","Solute carrier family 17"
"HGNC:10930","SLC17A2","solute carrier family 17 member 2","","NPT3","6p22.2","Solute carrier family 17"
"HGNC:10931","SLC17A3","solute carrier family 17 member 3","","NPT4","6p22.2","Solute carrier family 17"
"HGNC:10932","SLC17A4","solute carrier family 17 member 4","","KIAA2138","6p22.2","Solute carrier family 17"
"HGNC:10933","SLC17A5","solute carrier family 17 member 5","SIASD","AST,SD,ISSD,NSD,SIALIN,SLD","6q13","Solute carrier family 17"
"HGNC:16703","SLC17A6","solute carrier family 17 member 6","","DNPI,VGLUT2","11p14.3","Solute carrier family 17"
"HGNC:16704","SLC17A7","solute carrier family 17 member 7","","BNPI,VGLUT1","19q13.33","Solute carrier family 17"
"HGNC:20151","SLC17A8","solute carrier family 17 member 8","DFNA25","VGLUT3","12q23.1","Solute carrier family 17"
"HGNC:16192","SLC17A9","solute carrier family 17 member 9","C20orf59","FLJ23412,VNUT","20q13.33","Solute carrier family 17"
"HGNC:10934","SLC18A1","solute carrier family 18 member A1","VMAT1,VAT1","CGAT","8p21.3","Solute carrier family 18"
"HGNC:10935","SLC18A2","solute carrier family 18 member A2","VMAT2","SVMT,SVAT,VAT2","10q25.3","Solute carrier family 18"
"HGNC:10936","SLC18A3","solute carrier family 18 member A3","","VACHT","10q11.23","Solute carrier family 18"
"HGNC:21573","SLC18B1","solute carrier family 18 member B1","C6orf192","dJ55C23.6","6q23.2","Solute carrier family 18"
"HGNC:10937","SLC19A1","solute carrier family 19 member 1","","FOLT,RFC1,IFC-1,RFC,hRFC,RFT-1","21q22.3","Solute carrier family 19"
"HGNC:10938","SLC19A2","solute carrier family 19 member 2","TRMA","THTR1,ThT1","1q24.2","Solute carrier family 19"
"HGNC:16266","SLC19A3","solute carrier family 19 member 3","","THTR2,thTr-2,hTHTR2","2q36.3","Solute carrier family 19"
